eventId,eventDate,eventType,category,bucket,claimTested,directionalSign,magnitudeStatus,sourceIds,evidenceSummary,dataNeededIfMissing
E-001,2023-07-pending-effective-date,S&P SmallCap 600 deletion,index-deletion,non-fundamental-supply-shock,C-007,negative,evidence-pending,S-002;S-018;S-020,"Pointer to S&P DJI July 2023 SmallCap 600 deletion (S-002); IJR/SLY forced selling mechanism (S-020); event-window excess return and volume z-score not computed.","S-002 effective-date confirmation; SENEA Class A daily OHLCV [t-30,t+30] (S-018); IJR/SLY pre/post rebalance holdings deltas (S-020); S&P SmallCap 600 daily total return (S-019)."
E-002,FY2023-Q4-FY2025-Q4 release dates pending,Seneca quarterly and annual earnings releases,fundamental-repricing,fundamental-repricing,C-003;C-011,ambiguous,evidence-pending,S-001;S-007;S-018,"FY2025 LIFO reserve $359.3m anchored (S-001); reported pre-tax income / net earnings / D&A / prior-year LIFO reserve pending (financial-rebuild F-001..F-003); per-release reaction needs S-018.","Filing dates of every 10-K/10-Q 2022-04-01..2026-04-30 (S-001,S-007); reported pre-tax income, net earnings, operating income, D&A, LIFO reserve per release; effective tax rate (F-002); SENEA daily OHLCV around each release (S-018); peer or SmallCap 600 ex-SENEA benchmark (S-019)."
E-003,FY2023-FY2025 buyback authorization and execution windows pending,Buyback authorization and execution,fundamental-repricing,fundamental-repricing,C-008,positive,evidence-pending,S-001;S-005;S-018,"Buyback metrics defined in financial-rebuild but graded pending (F-004); authorization announcements are 8-K-disclosable; same-day reaction needs S-018.","Each 8-K / press release announcing buyback authorization (S-001,S-005); monthly repurchase tables FY2023-FY2025 10-K Item 5; SENEA daily OHLCV around each announcement (S-018); beginning-FY diluted share counts for net-buyback-percent."
E-004,2025-05 Del Monte Pacific deconsolidation effective date,Del Monte Pacific deconsolidation of U.S. Del Monte Foods,competitor-restructuring,competitor-restructuring,C-006;IC-006,positive,evidence-pending,S-003;S-014;S-018,"Pointer-level evidence (S-003) graded partially-verified in industry-bear-case IC-006; quoted text from FY2025 annual report not archived (P-005); price reaction not computed.","Effective deconsolidation date and announcement date(s) from Del Monte Pacific FY2025 annual report and SGX/PSE filings (S-003); trade-press confirmation (S-014); SENEA daily OHLCV [t-5,t+30] of each announcement (S-018); peer benchmark (S-019)."
E-005,2025 Chapter 11 filing date pending,Del Monte Foods (U.S.) Chapter 11 filing,competitor-restructuring,competitor-restructuring,C-006;IC-007,positive,evidence-pending,S-008;S-014;S-018,"PACER docket (S-008) and trade press (S-014) pointer-anchored; filing entity and reorganization-vs-liquidation posture open (Q-004); bear case B-003 caps durable benefit.","Exact PACER filing date and docket number (S-008); filing entity (Del Monte Foods Inc. vs Holdings); posture (reorganization vs 363 sale vs liquidation); SENEA daily OHLCV around filing and material docket events (S-018)."
E-006,FY2018-FY2025 fiscal-year MD&A windows pending,Commodity and input-cost pressure (tinplate / steel / freight / energy / labor),commodity-input-cost-pressure,commodity-input-cost-pressure,C-011;IC-008;B-005,ambiguous,evidence-pending,S-001;S-007;S-017;S-018,"IC-008 unverified and B-005 unverified pending P-006 (FY2018-FY2025 revenue/GM bridge vs tinplate/freight); tinplate index series and FRED canned-veg production index registered as S-017.","FY2018-FY2025 annual revenue, COGS, gross profit, MD&A price/volume/mix commentary (S-001,S-007); CRU Tinplate, S&P Platts tinplate spot, AAR rail / Cass freight, FRED canned-veg production index (S-017); U.S. tinplate trade-action history (Section 232, AD/CVD); SENEA OHLCV around gross-margin-surprise releases (S-018)."
E-007,2022-Q1 onset; 2023-03 SVB; 2025-Q1 macro window,Equity-market liquidity windows (Fed QT onset / 2023 regional-bank stress / 2025 macro window),liquidity-window,liquidity-and-factor,B-002;B-007;C-009,negative-in-tightening-windows,evidence-pending,S-018;S-019;S-021,"FRED-anchored Fed funds, 2-year, 10-year Treasury identify QT onset (S-021); March 2023 SVB stress documented (S-019,S-021); per-window SENEA returns / turnover not pulled (S-018).","FRED H15T10Y, DFF, DGS2 daily series (S-021); Russell 2000, Russell 2000 Value, S&P SmallCap 600, Fama-French SMB / HML daily returns (S-019); SENEA daily OHLCV (S-018); analyst-defined window list."
E-008,FY2025 DEF 14A filing date pending,Governance disclosure (dual-class voting power and insider ownership),governance-discount,governance-discount,C-010;B-007,negative-structural,evidence-pending,S-005;S-018,"B-007 partially-verified pending P-009 (FY2025 DEF 14A combined voting power, S-005); upstream Q-006; structural rather than event-driven discount.","FY2025 DEF 14A combined Class A + Class B voting share held by founding-family / insider holders (S-005); voting-rights ratio between Class A and Class B (S-005); single-class packaged-food peer panel FY2018-FY2025 to size discount (S-018); 13D / 13G filings against SENEA 2015-2026."
E-009,Persistent across the analysis window,Sell-side coverage absence,liquidity-and-coverage,liquidity-and-coverage,C-009,negative-structural,evidence-pending,S-006;S-018,"Anchored via S-006 (IR coverage page and consensus-estimate vendor records); aligns with academic neglected-stock premium; per-window bid-ask and turnover not pulled.","Active-coverage analyst count per year from Seneca IR and consensus-estimate vendor (S-006); SENEA daily bid-ask spread and average daily turnover by year (S-018); peer panel of similar packaged-food names with at least three covering analysts (S-018)."
E-010,2022-2024 small-cap-value drawdown; 2025 partial mean-reversion,Small-cap / value factor context,factor-context,liquidity-and-factor,C-009;B-002;B-007,negative-2022-2024-then-partial-recovery,evidence-pending,S-018;S-019,"Russell 2000 vs S&P 500 and Russell 2000 Value vs Growth document the 2022-2024 drawdown (S-019); overlaps materially with E-007; SENEA factor loadings not estimated.","Russell 2000, Russell 2000 Value, Russell 2000 Growth, S&P 500 daily total returns (S-019); Fama-French 3-factor or 5-factor daily series (S-019); SENEA daily OHLCV (S-018); regression specification SENEA-Rf = a + b_mkt*MktRf + b_smb*SMB + b_hml*HML + e with sub-period checks."
E-011,Continuous across the analysis window,Trading liquidity and float utilization,liquidity-window,liquidity-and-coverage,C-009;B-007,negative-structural,evidence-pending,S-005;S-018,"FY2025 DEF 14A insider beneficial ownership (S-005) defines free-float ceiling; SENEA turnover and quoted spread not retrieved (S-018); index deletion (E-001) further compressed institutional ownership.","SENEA daily turnover, bid-ask spread, Amihud illiquidity by year (S-018); pre- and post-July-2023 institutional ownership counts and percent-of-float from 13F aggregates (SEC EDGAR); free-float estimate net of insider holdings (S-005)."
