claimId,claimText,evidenceCategory,sourceId,sourceTitle,publisher,urlOrCitation,evidenceStatus,bindsBearCase,blockingPrimaryChecks,notes
IC-001,"Seneca and Lakeside together account for ~90% of U.S. private-label vegetable canning",competitor-structure,S-001,"Seneca Foods FY2025 Form 10-K (Item 1 Business, Item 1A Risk Factors)","Seneca Foods Corporation / U.S. SEC","https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0000088948&type=10-K",unverified,B-004,"P-001;P-002","Seneca's own competitive-position language has not been quoted in this validation pass."
IC-001,"Seneca and Lakeside together account for ~90% of U.S. private-label vegetable canning",competitor-structure,S-004,"Lakeside Foods public statement that Lakeside and one other competitor account for ~90% of U.S. private-label vegetable canning","Lakeside Foods, Inc.","Lakeside Foods website / quoted industry interview material archived in plan Quick Source Anchors",unverified,B-004,"P-002","Self-reported corporate statement; interest-conflicted; date and venue must be archived verbatim."
IC-001,"Seneca and Lakeside together account for ~90% of U.S. private-label vegetable canning",competitor-structure,S-016,"Circana / NielsenIQ retail-scanner aggregates on U.S. canned vegetable category dollar and unit trend","Circana (IRI) / NielsenIQ","Circana / NielsenIQ syndicated panel aggregates as cited in trade press",unverified,B-004,"P-002","Required to triangulate the 90% figure independently of the Lakeside source."
IC-002,"Lakeside Foods is the second of the two private-label canned-vegetable producers of scale in the U.S.",competitor-structure,S-004,"Lakeside Foods public statement","Lakeside Foods, Inc.","Lakeside Foods website / quoted industry interview material",partially-verified,,"P-002","Identity and presence are well established; 'of scale' qualifier requires syndicated triangulation."
IC-002,"Lakeside Foods is the second of the two private-label canned-vegetable producers of scale in the U.S.",competitor-structure,S-013,"Public materials and trade press for smaller U.S. canned-vegetable players","Company corporate websites and food-industry trade press","Trade-press references (Food Dive, Food Business News, The Packer)",partially-verified,,"P-002;P-003","Trade press is consistent with Lakeside's scale claim; quantitative share is not anchored."
IC-002,"Lakeside Foods is the second of the two private-label canned-vegetable producers of scale in the U.S.",competitor-structure,S-016,"Circana / NielsenIQ retail-scanner aggregates","Circana (IRI) / NielsenIQ","Subscription-restricted syndicated panel aggregates",partially-verified,,"P-002","Definitive triangulation source for share by manufacturer."
IC-003,"Del Monte Foods (U.S.) is a significant branded participant in the U.S. canned-vegetable category",competitor-structure,S-003,"Del Monte Pacific FY2025 annual report and SGX/PSE disclosure filings","Del Monte Pacific Limited","https://www.delmontepacific.com/investors",partially-verified,B-003,"P-005","Pointer-anchored; quoted text on U.S. business scope not yet archived."
IC-003,"Del Monte Foods (U.S.) is a significant branded participant in the U.S. canned-vegetable category",competitor-structure,S-008,"Del Monte Foods (U.S.) Chapter 11 docket","U.S. Bankruptcy Court (PACER) / Del Monte Foods press release","PACER docket; Del Monte Foods newsroom",partially-verified,B-003,"P-004","Filing characterizes the U.S. business; 'significant branded participant' qualifier needs quoted language."
IC-003,"Del Monte Foods (U.S.) is a significant branded participant in the U.S. canned-vegetable category",competitor-structure,S-014,"Trade press coverage of Del Monte Foods (U.S.) Chapter 11","Reuters / Bloomberg / WSJ / Food Dive","Reuters and WSJ wire copy; Food Dive coverage",partially-verified,B-003,"P-004","Trade press contextualizes the brand and product portfolio."
IC-004,"A long tail of smaller U.S. canned-vegetable producers comprises the residual share of supply",competitor-structure,S-013,"Public materials and trade press for Hanover Foods, Faribault Foods, Furmano's, Truitt Bros., Allens / Sager Creek","Company corporate websites and trade press","Trade-press references (Food Dive, Food Business News, The Packer)",unverified,,"P-003","Companies are private; SEC-quality disclosure not available."
IC-004,"A long tail of smaller U.S. canned-vegetable producers comprises the residual share of supply",competitor-structure,S-014,"Trade press coverage relevant to smaller players (e.g., Hanover acquiring Furmano's)","Food Dive / Food Business News","Trade-press archives",unverified,,"P-003","Acquisition activity affects the residual share count and concentration math."
IC-005,"Private-label dollar share within the U.S. canned-vegetable category is a majority of category volume in mass / club retailers",capacity-and-pricing,S-015,"Walmart / Kroger / Costco / Albertsons / Ahold Delhaize 10-K and 20-F private-label commentary","U.S. SEC / SEDAR / SGX","EDGAR filing indexes for the listed retailers",unverified,B-002;B-008,"P-008","Retailers disclose private-label penetration qualitatively in the strategy / risk sections."
IC-005,"Private-label dollar share within the U.S. canned-vegetable category is a majority of category volume in mass / club retailers",capacity-and-pricing,S-016,"Circana / NielsenIQ canned vegetable category aggregates","Circana (IRI) / NielsenIQ","Subscription-restricted aggregates as cited in trade press",unverified,B-002;B-008,"P-002","Definitive third-party check on private-label dollar and unit share."
IC-006,"Del Monte Pacific deconsolidated U.S. Del Monte Foods effective May 2025 (discontinued operations classification)",competitor-structure,S-003,"Del Monte Pacific FY2025 annual report","Del Monte Pacific Limited","https://www.delmontepacific.com/investors",partially-verified,B-003,"P-005","Pointer-anchored; primary text not yet quoted."
IC-006,"Del Monte Pacific deconsolidated U.S. Del Monte Foods effective May 2025 (discontinued operations classification)",competitor-structure,S-014,"Trade press coverage of the Del Monte Pacific deconsolidation","Reuters / Bloomberg / WSJ / Food Dive","Wire copy and trade press archives",partially-verified,B-003,"P-005","Trade press provides the effective date and context."
IC-007,"Del Monte Foods (U.S.) filed Chapter 11 in 2025",competitor-structure,S-008,"Del Monte Foods (U.S.) Chapter 11 docket","U.S. Bankruptcy Court (PACER)","PACER docket for Del Monte Foods (U.S.) Chapter 11 case",partially-verified,B-003,"P-004","Resolves upstream Q-004 on filing entity."
IC-007,"Del Monte Foods (U.S.) filed Chapter 11 in 2025",competitor-structure,S-014,"Trade press coverage of the Del Monte Foods Chapter 11 filing","Reuters / Bloomberg / WSJ / Food Dive","Wire copy on the filing date and reorganization plan",partially-verified,B-003,"P-004","Trade press carries the reorganization-vs-liquidation posture."
IC-008,"Pricing among remaining U.S. canned-vegetable producers is rational; cost moves pass through to retailer pricing",capacity-and-pricing,S-001,"Seneca Foods FY2025 Form 10-K Item 7 MD&A on price-cost recovery","Seneca Foods Corporation / U.S. SEC","https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0000088948&type=10-K",unverified,B-005,"P-006","Plan claim C-011; financial-rebuild graded C-011 as 'deferred'."
IC-008,"Pricing among remaining U.S. canned-vegetable producers is rational; cost moves pass through to retailer pricing",capacity-and-pricing,S-007,"Seneca Foods historical 10-K filings FY2018-FY2024","Seneca Foods Corporation / U.S. SEC","https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0000088948&type=10",unverified,B-005,"P-006","Required for the FY2018-FY2025 cycle-aware bridge."
IC-008,"Pricing among remaining U.S. canned-vegetable producers is rational; cost moves pass through to retailer pricing",capacity-and-pricing,S-017,"Tinplate / steel price indices (CRU, S&P Platts, FRED canned-fruits-and-vegetables production index)","CRU Group / S&P Global Platts / Argus / U.S. Federal Reserve","CRU and S&P Platts subscription publications; FRED series",unverified,B-005,"P-006","Triangulation source for tinplate cost-pass-through analysis."
IC-009,"Seneca's customer base is concentrated in a small number of large grocery, mass, club, and discount retailers",customer-and-channel,S-001,"Seneca Foods FY2025 Form 10-K Item 1 (Business) and Item 1A (Risk Factors)","Seneca Foods Corporation / U.S. SEC","https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0000088948&type=10-K",unverified,B-002,"P-008","Any 10%+ customer disclosure is the canonical test."
IC-009,"Seneca's customer base is concentrated in a small number of large grocery, mass, club, and discount retailers",customer-and-channel,S-015,"Walmart / Kroger / Costco / Albertsons / Ahold Delhaize 10-K and 20-F filings","U.S. SEC / SEDAR / SGX","EDGAR filing indexes",unverified,B-002,"P-008","Retailer side commentary on private-label suppliers and category dynamics."
IC-010,"U.S. per-capita canned-vegetable consumption is in secular decline relative to fresh and frozen alternatives",customer-and-channel,S-012,"USDA ERS Vegetables and Pulses Outlook; Census Bureau Annual Survey of Manufactures NAICS 311421","USDA ERS / U.S. Census Bureau","https://www.ers.usda.gov/publications/pub-details/?pubid= ; https://www.census.gov/programs-surveys/asm.html",unverified,B-001;B-009,"P-007","Government statistics on per-capita consumption and production."
IC-010,"U.S. per-capita canned-vegetable consumption is in secular decline relative to fresh and frozen alternatives",customer-and-channel,S-016,"Circana / NielsenIQ canned vegetable category dollar and unit trend","Circana (IRI) / NielsenIQ","Subscription-restricted syndicated aggregates as cited in trade press",unverified,B-001;B-009,"P-007","Required to triangulate the slope of the secular decline."
B-007,"Dual-class share structure prevents activist crystallization",customer-and-channel,S-005,"Seneca Foods FY2025 proxy statement (DEF 14A)","Seneca Foods Corporation / U.S. SEC","https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0000088948&type=DEF+14A",partially-verified,B-007,"P-009","Mirrors upstream claim C-010 and open question Q-006."
B-010,"Realized FIFO add-back to equity is smaller than gross because of deferred tax",customer-and-channel,S-001,"Seneca Foods FY2025 Form 10-K Income Taxes note (effective tax rate)","Seneca Foods Corporation / U.S. SEC","https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0000088948&type=10-K",partially-verified,B-010,,"Mechanically constrained by financial-rebuild bridge; resolves with financial-rebuild gap F-002."
B-010,"Realized FIFO add-back to equity is smaller than gross because of deferred tax",customer-and-channel,S-010,"U.S. federal corporate statutory income tax rate (21%)","Internal Revenue Code Section 11","https://www.law.cornell.edu/uscode/text/26/11",partially-verified,B-010,,"21% federal floor; state taxes lower the realized after-tax add-back further."
